Feature,Score
engagement_score,0.10923005565454025
billing_risk_score,0.10275429898592958
churn_risk_segment_Low Risk,0.10178288807626923
numTechTickets,0.07114871335799777
high_value_churn_flag,0.0694597733554696
tenure,0.06748518697730388
ticket_intensity,0.06644743811802956
Contract_Two year,0.06044304015187474
revenue_efficiency,0.059060781766710146
customer_lifetime_value,0.05189614002868481
MonthlyCharges,0.05058706998674545
TotalCharges,0.04345120531522739
InternetService_Fiber optic,0.042646008313825146
support_frustration_score,0.04090626281126686
PaymentMethod_Electronic check,0.03964573851852604
avg_monthly_spend,0.03861870098833764
tenure_group_New,0.038084727012518194
tenure_group_VIP,0.027303315534321415
InternetService_No,0.025686304911735736
PaperlessBilling,0.024056741750509536
service_adoption_score,0.022021848137669053
customerID_3933-DQPWX,0.018894059565271792
revenue_tier_Gold,0.01851013300472437
OnlineSecurity,0.017771205581983862
Dependents,0.01739035212066642
customerID_8399-YNDCH,0.017008301306176588
customerID_4879-GZLFH,0.01677838720114977
customerID_4671-LXRDQ,0.016764158538958185
customerID_2075-RMJIK,0.016589327776160845
customerID_2919-HBCJO,0.01634721410398554
customerID_3588-WSTTJ,0.016161527203782722
customerID_5245-VDBUR,0.01582550217213141
customerID_3658-KIBGF,0.01563996101858245
customerID_2729-VNVAP,0.015574992678434318
customerID_5027-YOCXN,0.015207315805362054
customerID_0997-YTLNY,0.015055190200142343
customerID_2866-IKBTM,0.01494938758081954
customerID_6434-TTGJP,0.014810440790993917
customerID_1559-DTODC,0.01448675490356477
customerID_9500-WBGRP,0.01448149767357787
customerID_4951-UKAAQ,0.01440828399666505
customerID_5827-MWCZK,0.014388561724247184
customerID_7271-AJDTL,0.014279468176195742
Contract_One year,0.014192407680557961
customerID_1465-VINDH,0.014133275549009117
customerID_3733-UOCWF,0.0141135299466979
customerID_5668-MEISB,0.014062096326265205
customerID_3312-UUMZW,0.013991034210798503
customerID_1935-IMVBB,0.013983058427114115
customerID_9087-EYCPR,0.013950664763951792
customerID_6712-OAWRH,0.013688428236908301
customerID_0526-SXDJP,0.013687368398145772
OnlineBackup,0.01356175517221736
customerID_9102-OXKFY,0.013544543872695325
customerID_2038-YSEZE,0.013478656997520932
customerID_0807-ZABDG,0.013463302251183862
customerID_5740-YHGTW,0.013381616328912216
customerID_6368-TZZDT,0.01335995098670617
customerID_4304-TSPVK,0.013294848310624552
customerID_4724-WXVWF,0.013292213183478285
customerID_1113-IUJYX,0.01323792265842516
customerID_9770-KXGQU,0.013206395422011852
customerID_5144-TVGLP,0.01318485394196034
customerID_6551-GNYDG,0.013155967119750311
customerID_6240-EURKS,0.013064516080527833
customerID_7771-CFQRQ,0.012909171977400824
customerID_3525-DVKFN,0.01288068005643428
customerID_9385-NXKDA,0.012874693610631871
customerID_0973-KYVNF,0.012873757593690582
customerID_5375-XLDOF,0.012866005468576969
customerID_1024-GUALD,0.012843410419761891
customerID_8465-SBRXP,0.012826571578708146
customerID_3887-PBQAO,0.012818540206819717
customerID_8388-FYNPZ,0.012723943626148149
customerID_6322-HRPFA,0.012682776348200031
customerID_8563-OYMQY,0.012607093570357941
customerID_5902-WBLSE,0.012529081461207348
customerID_6696-YDAYZ,0.012516715420560098
customerID_8434-PNQZX,0.01246402860971818
TechSupport,0.012463987217126826
customerID_2595-KIWPV,0.012448882589407573
customerID_5795-KTGUD,0.012411060585796552
customerID_2659-VXMWZ,0.012363543908872732
customerID_8433-WXGNA,0.012348104424134032
customerID_4816-JBHOV,0.01232717764817548
customerID_7563-BIUPC,0.012306396555344046
customerID_4695-WJZUE,0.012284498251434295
customerID_7225-IILWY,0.012247103772943246
customerID_5248-YGIJN,0.012245499538002136
customerID_0673-IGUQO,0.012236351234450105
customerID_0871-URUWO,0.012223769315648836
customerID_1904-WAJAA,0.012214677337188506
customerID_0103-CSITQ,0.012213768550620951
customerID_0883-EIBTI,0.012191257768424002
customerID_3223-DWFIO,0.012165097813617631
customerID_7590-VHVEG,0.012139186088473863
customerID_1169-WCVAK,0.012129092352172632
customerID_0229-LFJAF,0.012124764204858973
customerID_3005-NFMTA,0.012118066005427197
customerID_0572-ZJKLT,0.01211040903056837
customerID_8920-NAVAY,0.012098923894411806
customerID_3068-OMWZA,0.012083709924265662
customerID_6128-DAFVY,0.012025979512227059
customerID_9909-DFRJA,0.012023567327931861
customerID_7188-CBBBA,0.012002587860287406
customerID_3195-TQDZX,0.01199168551643548
customerID_0277-BKSQP,0.011907178462418733
customerID_9143-CANJF,0.011903181991983258
